"Sample","20230511_IARPA_ST_TCX_TL_ALL_024_sample 006","20230511_IARPA_ST_TCX_TL_ALL_026_sample 008","20230511_IARPA_ST_TCX_TL_ALL_081_sample 047","20230511_IARPA_ST_TCX_TL_ALL_048_sample 022","20230511_IARPA_ST_TCX_TL_ALL_051_sample 025","20230511_IARPA_ST_TCX_TL_ALL_078_sample 044"
,"1. d25_sham","1. d25_sham","1. d25_sham","2. Pre_sham","2. Pre_sham","2. Pre_sham"
"a139","0.313021274","0.299914371","1.252960895","0.786161994","2.309098573","1.691019201"
"a140","0.884403099","0.646296498","1.251988827","0.719237152","1.98601324","1.128034522"
"a141","0.320771992","0.32286615","1.009968478","1.514989506","1.498496491","1.292671946"
"a142","0.85161862","0.903178015","1.347864406","1.052279509","1.970385804","0.796628811"
"a143","1.047618274","0.614607913","1.173703177","0.689755075","1.339963146","1.047212346"
"a144","0.931098229","1.232463799","1.376832582","0.613800704","1.611623785","0.589635033"
"a145","0.225234082","0.226613861","0.198424847","0.616964761","1.611430159","1.090407134"
"a146","1.377005662","1.603296776","1.78676738","0.903919646","2.28552131","0.848770395"
"a147","2.50862379","1.51109404","1.204205618","1.112933095","1.446185291","0.135170366"
"a148","0.161089102","0.911575957","2.036166724","1.526902602","2.068005064","1.337845012"
"a149","0.669603891","0.209460647","0.808567632","0.373115328","1.301009617","0.161247071"
"a150","0.620859192","1.038883223","1.182849031","1.362686801","2.51688687","1.091114398"
"a151","0.103050522","0.106169893","1.220514851","0.670256049","1.583188326","1.048471841"
"a152","0.862468345","0.883473668","1.16897216","1.111475876","2.789800051","1.091241341"
"a153","0.617844505","1.3568422","1.032853524","1.191014259","2.109708655","1.007401257"
"a154","0.164772089","0.780843035","0.71843254","1.053229683","1.746793486","0.793550436"
"a155","1.140262031","2.731205843","1.945036075","1.106708137","1.285771578","0.890504621"
"a156","0.197747201","0.814899226","0.755751971","1.48174524","2.678398112","1.856682665"
"a157","0.583502527","0.866876251","1.239403775","0.885616478","2.216090442","1.035401569"
"a158","0.579170513","0.947341912","1.234970027","0.848293737","1.803928595","1.045394864"
"a159","0.655911548","1.202971237","1.355362999","0.953646358","1.849173479","1.160058496"
